Local Date: Jan 06 2023 Local Time: 16:09:20
Build info: Sep 15 2022 15:14:37 r

INFO    16:09:26:602  11432; agora::media::VideoEngine::SetStreamState: localVideoState 1, error 4
INFO    16:09:26:602  11432; [rp] video availability level: 1 module: 8 code: 1 peerUid: 0 extra: 97
WARN    16:09:26:604  11432; Fail to parse: AgoraRTC::SpsH264::InterpretSps gaps_in_frame_num_value_allowed_flag is 1

WARN    16:09:26:604  11432; Idr miss, internal frn wrap around, reset. prevfrn (118), cfrn (0), maxfrn (32768)
INFO    16:09:26:910  24656; Audio statistics signal level: far_in = 0
INFO    16:09:26:921  11432; Peer count: 1
INFO    16:09:26:921  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:09:26:921  11432; agora::media::VideoEngine::SetStreamState: 1 -> 2
INFO    16:09:26:921  11432; agora::media::VideoEngine::SetStreamState: localVideoState 2, error 0
WARN    16:09:26:952  15464; ping host 103.18.47.77
WARN    16:09:27:252  15464; ping host 192.168.10.1
INFO    16:09:27:352  11432; VPR Output STAT :total_congestion_rate_percentage= 23.011751, window_congestion_rate_percent = 2.818333 
INFO    16:09:27:441  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:09:27:506  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 128611,width 640,height 360,ystride:0,type:2
INFO    16:09:27:801  11432; [rs] total: 13085 / 13236 valid: 13085 / 13087
WARN    16:09:27:807  11432; [VPM:Brightness] bright (221).
WARN    16:09:27:958  15464; ping host 103.18.47.77
WARN    16:09:28:253  15464; ping host 192.168.10.1
INFO    16:09:28:421  11432; VPR Output STAT :total_congestion_rate_percentage= 22.984560, window_congestion_rate_percent = 2.818333 
INFO    16:09:28:440  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:09:28:921  11432; Peer count: 1
INFO    16:09:28:921  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:09:28:921  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:09:28:962  15464; ping host 103.18.47.77
INFO    16:09:29:151   3964; [AGC] AgcManagerDirect::UpdateCompressor() compression_=17
WARN    16:09:29:256  15464; ping host 192.168.10.1
INFO    16:09:29:351   3964; [AGC] AgcManagerDirect::UpdateCompressor() compression_=16
WARN    16:09:29:415  11432; [VPM:Brightness] bright (221).
INFO    16:09:29:431  11432; VPR Output STAT :total_congestion_rate_percentage= 22.959000, window_congestion_rate_percent = 2.818333 
INFO    16:09:29:441  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:09:29:851   3964; Audio statistics signal level: near_in = 105, near_out = 111, encodein = 105
WARN    16:09:29:965  15464; ping host 103.18.47.77
INFO    16:09:30:171   3964; [AGC] AgcManagerDirect::UpdateCompressor() compression_=17
WARN    16:09:30:258  15464; ping host 192.168.10.1
INFO    16:09:30:441  11432; [timeSync] getStableNTP, rtt_w: 26, diffTime: 1672631911042, bootTime: 364259259, currentTs: 1672996170301
INFO    16:09:30:441  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:09:30:451  11432; VPR Output STAT :total_congestion_rate_percentage= 22.933220, window_congestion_rate_percent = 2.818333 
INFO    16:09:30:521  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 128641,width 640,height 360,ystride:0,type:2
INFO    16:09:30:920  11432; Peer count: 1
INFO    16:09:30:920  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:09:30:920  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:09:30:966  15464; ping host 103.18.47.77
WARN    16:09:31:023  11432; [VPM:Brightness] bright (221).
INFO    16:09:31:190   3964; [AGC] AgcManagerDirect::UpdateCompressor() compression_=18
WARN    16:09:31:261  15464; ping host 192.168.10.1
INFO    16:09:31:441  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:09:31:511  11432; VPR Output STAT :total_congestion_rate_percentage= 22.906490, window_congestion_rate_percent = 2.458333 
INFO    16:09:31:721  11432; gatewayRtt 2(650), linkspeed 86700(20), rssi -53(-70), rxlossrate 0(30), localRxJitter95 5(500), reason 0x0
WARN    16:09:31:972  15464; ping host 103.18.47.77
INFO    16:09:32:029  11432; before enc coefUniformity=0
WARN    16:09:32:265  15464; ping host 192.168.10.1
INFO    16:09:32:441  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:09:32:613  11432; VPR Output STAT :total_congestion_rate_percentage= 22.878769, window_congestion_rate_percent = 2.458333 
WARN    16:09:32:633  11432; [VPM:Brightness] bright (221).
INFO    16:09:32:801  11432; [rs] total: 13089 / 13238 valid: 13089 / 13089
INFO    16:09:32:921  11432; Peer count: 1
INFO    16:09:32:921  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:09:32:921  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:09:32:975  15464; ping host 103.18.47.77
WARN    16:09:33:267  15464; ping host 192.168.10.1
INFO    16:09:33:441  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:09:33:538  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 128671,width 640,height 360,ystride:0,type:2
INFO    16:09:33:729  11432; VPR Output STAT :total_congestion_rate_percentage= 22.850737, window_congestion_rate_percent = 2.458333 
INFO    16:09:33:891   3964; [AGC] AgcManagerDirect::UpdateCompressor() compression_=17
WARN    16:09:33:978  15464; ping host 103.18.47.77
INFO    16:09:34:090   3964; [AGC] AgcManagerDirect::UpdateCompressor() compression_=16
WARN    16:09:34:241  11432; [VPM:Brightness] bright (221).
WARN    16:09:34:269  15464; ping host 192.168.10.1
INFO    16:09:34:290   3964; [AGC] AgcManagerDirect::UpdateCompressor() compression_=15
INFO    16:09:34:342  11432; AgoraRTC::AVEncoder::VideoEncoderExec: UseSingleSliceParser = 1
INFO    16:09:34:441  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:09:34:491   3964; [AGC] AgcManagerDirect::UpdateCompressor() compression_=14
