Local Date: Jan 06 2023 Local Time: 16:43:51
Build info: Sep 15 2022 15:14:37 r

WARN    16:43:58:455  15464; ping host 103.18.47.77
WARN    16:43:58:455  15464; ping host 192.168.10.1
WARN    16:43:58:788  11432; [VPM:Brightness] bright (221).
INFO    16:43:59:101  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:43:59:216  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:43:59:269  11432; Peer count: 1
INFO    16:43:59:269  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:43:59:269  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:43:59:295  19224; Setting a too large audio device delay = (184467490)ms
WARN    16:43:59:459  15464; ping host 103.18.47.77
WARN    16:43:59:459  15464; ping host 192.168.10.1
INFO    16:44:00:109  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:44:00:217  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:44:00:286  19224; captured signal too small
WARN    16:44:00:286  19224; audio device captured signal too small
INFO    16:44:00:294  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 149189,width 640,height 360,ystride:0,type:2
WARN    16:44:00:295  19224; Setting a too large audio device delay = (184467491)ms
WARN    16:44:00:395  11432; [VPM:Brightness] bright (221).
WARN    16:44:00:461  15464; ping host 103.18.47.77
WARN    16:44:00:462  15464; ping host 192.168.10.1
WARN    16:44:00:535  19224; captured signal all 0s
WARN    16:44:00:535  19224; audio device captured signal all 0s
INFO    16:44:00:535  19224; Audio statistics signal level: near_in = 0, near_out = 0, encodein = 0
INFO    16:44:00:866  11432; [timeSync] getStableNTP, rtt_w: 34, diffTime: 1672631911016, bootTime: 366329685, currentTs: 1672998240701
INFO    16:44:01:138  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:44:01:217  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:01:270  11432; Peer count: 1
INFO    16:44:01:270  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:44:01:270  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:44:01:296  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:44:01:419  11432; [rs] **report stats: seq: 15610
INFO    16:44:01:419  11432; [rs] **report stats: report item map size: 0
INFO    16:44:01:419  11432; [rs] **report stats: tx bytes: 6279839
INFO    16:44:01:419  11432; [rs] **report stats: rx bytes: 749280
INFO    16:44:01:419  11432; [rs] remote server: 164.52.95.233:8130
WARN    16:44:01:464  15464; ping host 103.18.47.77
WARN    16:44:01:464  15464; ping host 192.168.10.1
WARN    16:44:02:002  11432; [VPM:Brightness] bright (221).
INFO    16:44:02:157  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:44:02:217  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:44:02:286  19224; captured signal too small
WARN    16:44:02:286  19224; audio device captured signal too small
WARN    16:44:02:296  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:44:02:411  11432; gatewayRtt 3(650), linkspeed 86700(20), rssi -53(-70), rxlossrate 0(30), localRxJitter95 21(500), reason 0x0
WARN    16:44:02:468  15464; ping host 103.18.47.77
WARN    16:44:02:468  15464; ping host 192.168.10.1
INFO    16:44:02:706  11432; before enc coefUniformity=0
INFO    16:44:03:189  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:44:03:217  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:03:268  11432; [rs] total: 15610 / 15786 valid: 15610 / 15610
INFO    16:44:03:270  11432; Peer count: 1
INFO    16:44:03:270  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:44:03:270  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:44:03:296  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:44:03:308  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 149219,width 640,height 360,ystride:0,type:2
INFO    16:44:03:396  11432; Intra Request Received from 1445391047, time = 366332213

WARN    16:44:03:411  11432; Fail to parse: AgoraRTC::SpsH264::InterpretSps gaps_in_frame_num_value_allowed_flag is 1

WARN    16:44:03:411  11432; Idr miss, internal frn wrap around, reset. prevfrn (115), cfrn (0), maxfrn (32768)
WARN    16:44:03:475  15464; ping host 103.18.47.77
WARN    16:44:03:475  15464; ping host 192.168.10.1
WARN    16:44:03:610  11432; [VPM:Brightness] bright (221).
INFO    16:44:04:201  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:44:04:217  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:44:04:287  19224; captured signal too small
WARN    16:44:04:287  19224; audio device captured signal too small
WARN    16:44:04:295  19224; Setting a too large audio device delay = (184467491)ms
INFO    16:44:04:410  11432; **CALL STATS: duration 4h10m41s cpu app/total 1.90/13.76 (avg 1.15/12.24) memory size app/ratio app/total 126352KB/0.76/52.39 (avg 0.75/65.55) battery 255 tx/rx: 82/1.609K kbps 184.186M/618.889M bytes
WARN    16:44:04:481  15464; ping host 103.18.47.77
WARN    16:44:04:481  15464; ping host 192.168.10.1
ERROR   16:44:04:918  11432; agora::media::VideoEngine::checkCapturePicture_l: all frames are the same, size 640x360, fps 10, bitrate 3, camera maybe issue
INFO    16:44:04:918  11432; agora::media::VideoEngine::SetStreamState: 2 -> 1
INFO    16:44:04:918  11432; agora::media::VideoEngine::SetStreamState: localVideoState 1, error 4
INFO    16:44:04:918  11432; [rp] video availability level: 1 module: 8 code: 1 peerUid: 0 extra: 37
INFO    16:44:05:213  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:44:05:217  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:44:05:219  11432; [VPM:Brightness] bright (221).
INFO    16:44:05:270  11432; Peer count: 1
INFO    16:44:05:270  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:44:05:270  11432; agora::media::VideoEngine::SetStreamState: 1 -> 2
INFO    16:44:05:270  11432; agora::media::VideoEngine::SetStreamState: localVideoState 2, error 0
WARN    16:44:05:296  19224; Setting a too large audio device delay = (184467492)ms
WARN    16:44:05:488  15464; ping host 103.18.47.77
WARN    16:44:05:488  15464; ping host 192.168.10.1
INFO    16:44:05:523  11432; AgoraRTC::AVEncoder::VideoEncoderExec: UseSingleSliceParser = 1
INFO    16:44:05:890  11432; [timeSync] getStableNTP, rtt_w: 34, diffTime: 1672631911016, bootTime: 366334709, currentTs: 1672998245725
INFO    16:44:06:218  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:06:236  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:06:287  19224; captured signal too small
WARN    16:44:06:287  19224; audio device captured signal too small
WARN    16:44:06:295  19224; Setting a too large audio device delay = (184467491)ms
INFO    16:44:06:306  19224; AVSync audio_record_delay: 11

INFO    16:44:06:328  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 149249,width 640,height 360,ystride:0,type:2
WARN    16:44:06:502  15464; ping host 103.18.47.77
WARN    16:44:06:502  15464; ping host 192.168.10.1
WARN    16:44:06:535  19224; captured signal all 0s
WARN    16:44:06:535  19224; audio device captured signal all 0s
WARN    16:44:06:829  11432; [VPM:Brightness] bright (221).
INFO    16:44:07:219  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:07:237  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:44:07:270  11432; Peer count: 1
INFO    16:44:07:270  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:44:07:270  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:44:07:297  19224; Setting a too large audio device delay = (184467492)ms
WARN    16:44:07:508  15464; ping host 103.18.47.77
WARN    16:44:07:508  15464; ping host 192.168.10.1
INFO    16:44:08:219  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:08:242  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:44:08:266  11432; [rs] total: 15615 / 15791 valid: 15615 / 15615
WARN    16:44:08:286  19224; captured signal too small
WARN    16:44:08:286  19224; audio device captured signal too small
WARN    16:44:08:295  19224; Setting a too large audio device delay = (184467491)ms
INFO    16:44:08:412  11432; gatewayRtt 7(650), linkspeed 86700(20), rssi -53(-70), rxlossrate 2(30), localRxJitter95 17(500), reason 0x0
WARN    16:44:08:436  11432; [VPM:Brightness] bright (221).
WARN    16:44:08:514  15464; ping host 103.18.47.77
WARN    16:44:08:514  15464; ping host 192.168.10.1
INFO    16:44:08:838  11432; before enc coefUniformity=0
INFO    16:44:09:220  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:09:270  11432; Peer count: 1
INFO    16:44:09:270  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:44:09:270  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
INFO    16:44:09:286  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:09:296  19224; Setting a too large audio device delay = (184467491)ms
INFO    16:44:09:340  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 149279,width 640,height 360,ystride:0,type:2
WARN    16:44:09:516  15464; ping host 103.18.47.77
WARN    16:44:09:518  15464; ping host 192.168.10.1
WARN    16:44:10:042  11432; [VPM:Brightness] bright (221).
INFO    16:44:10:219  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:44:10:287  19224; captured signal too small
WARN    16:44:10:287  19224; audio device captured signal too small
INFO    16:44:10:288  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:10:297  19224; Setting a too large audio device delay = (184467492)ms
WARN    16:44:10:526  15464; ping host 103.18.47.77
WARN    16:44:10:526  15464; ping host 192.168.10.1
INFO    16:44:10:908  11432; [timeSync] getStableNTP, rtt_w: 34, diffTime: 1672631911016, bootTime: 366339726, currentTs: 1672998250742
INFO    16:44:11:219  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
INFO    16:44:11:271  11432; Peer count: 1
INFO    16:44:11:271  11432; coefUniformity_=0,coefVariation=33,realCaptureFps=10,targetCaptureFPS=15,,decimatorTargetFPS=15,captureSnr_=0 ,

INFO    16:44:11:271  11432; agora::media::VideoEngine::SetStreamState: 2 -> 2
WARN    16:44:11:296  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:44:11:298  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
WARN    16:44:11:529  15464; ping host 103.18.47.77
WARN    16:44:11:531  15464; ping host 192.168.10.1
WARN    16:44:11:649  11432; [VPM:Brightness] bright (221).
INFO    16:44:12:220  11432; AgoraRTC::ViESyncModule::ProcessOneUserSync: audio_playout_delay 40
WARN    16:44:12:287  19224; captured signal too small
WARN    16:44:12:287  19224; audio device captured signal too small
WARN    16:44:12:297  19224; Setting a too large audio device delay = (184467492)ms
INFO    16:44:12:312  11432; VPR Output STAT :total_congestion_rate_percentage= 0.000000, window_congestion_rate_percent = 0.000000 
INFO    16:44:12:353  33400; AgoraRTC::videocapturemodule::VideoCaptureImpl::printFrameLog:frame count 149309,width 640,height 360,ystride:0,type:2
WARN    16:44:12:532  15464; ping host 103.18.47.77
WARN    16:44:12:536  15464; ping host 192.168.10.1
WARN    16:44:12:536  19224; captured signal all 0s
WARN    16:44:12:536  19224; audio device captured signal all 0s
